<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
Golden City (5) Le dossier Harrison|Pecqueur, Malfin, Schelle & Rosa|Delcourt|||9782840559313|fr|
Golden City (6) Jessica|Pecqueur, Malfin, Schelle & Rosa|Delcourt|||9782847893014|fr|
Golden City (7) Les enfants perdus|Pecqueur, Malfin, Schelle|Delcourt|2007/2011||9782756004907|fr|
Golden City (8) Les naufrages des abysses|Pecqueur, Malfin, Schelle|Delcourt|2009||9782756017334|fr|
Golden City (9) L'énigme Banks|Pecqueur, Malfin, Schelle|Delcourt|2011||9782756017334|fr|
Guide de la survie en entreprise|Manu Larcenet|Fluide Glacial|||9782858154340|fr|
Histoire de la musique en bandes dessinées (1)|Bernard Deyries, Denys Demery|Editions Francis Van de Velde|1978|2862990027||fr|
Histoire de la musique en bandes dessinées (2)|Bernard Deyries, Denys Demery, Michael Sadler|Editions Francis Van de Velde|1979|2862990043||fr|
Hunter X Hunter (01)|Yoshihiro Togashi|Kana|||9782871292661|fr|
Hunter X Hunter (02)|Yoshihiro Togashi|Kana|||9782871292678|fr|
Hunter X Hunter (03)|Yoshihiro Togashi|Kana|||9782871292685|fr|
Hunter X Hunter (04)|Yoshihiro Togashi|Kana|||9782871292692|fr|
Hunter X Hunter (05)|Yoshihiro Togashi|Kana|||9782871292708|fr|
Hunter X Hunter (06)|Yoshihiro Togashi|Kana|||9782871293217|fr|
Hunter X Hunter (07)|Yoshihiro Togashi|Kana|||9782871293224|fr|
Hunter X Hunter (08)|Yoshihiro Togashi|Kana|||9782871293231|fr|
Hunter X Hunter (09)|Yoshihiro Togashi|Kana|||9782871293248|fr|
Hunter X Hunter (10)|Yoshihiro Togashi|Kana|||9782871293255|fr|
Hunter X Hunter (11)|Yoshihiro Togashi|Kana|||9782871294023|fr|
Hunter X Hunter (12)|Yoshihiro Togashi|Kana|||9782871294153|fr|
Hunter X Hunter (13)|Yoshihiro Togashi|Kana|||9782871294290|fr|
Hunter X Hunter (14)|Yoshihiro Togashi|Kana|||9782871294429|fr|
Hunter X Hunter (15)|Yoshihiro Togashi|Kana|||9782871295099|fr|
Hunter X Hunter (16)|Yoshihiro Togashi|Kana|||9782871295365|fr|
Hunter X Hunter (17)|Yoshihiro Togashi|Kana|||9782871295624|fr|
Hunter X Hunter (18)|Yoshihiro Togashi|Kana|||9782871296850|fr|
Hunter X Hunter (19)|Yoshihiro Togashi|Kana|||9782871297277|fr|
Hunter X Hunter (20)|Yoshihiro Togashi|Kana|||9782871297819|fr|
Idees Noires|Franquin|Les albums Fluide Glacial|1981|||fr|
Idees Noires|Franquin|Les albums Fluide Glacial|1981|||fr|
Jack Palmer - Les disparus d'Apostrophes|Petillon|Dargaud||2205022350|9782205022353|fr|
Je suis Légion (01) Le Faune dansant|Fabien Nury, John Cassaday|Les humanoïdes associés|2007||9782731663020|fr|
Je suis Légion (02) Vlad|Fabien Nury, John Cassaday|Les humanoïdes associés|2006||9782731616613|fr|
Je suis Légion (03) Les trois singes|Fabien Nury, John Cassaday|Les humanoïdes associés|2007||9782731616620|fr|
